alternative_id,check_id,horizon,baseline_estimate,alternative_estimate,estimate_delta,baseline_standard_error,alternative_standard_error,baseline_nobs,alternative_nobs
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,1,0.08884441550919353,0.08884441550919353,0.0,0.1173044350317145,0.11740027682968689,87,87
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,2,-0.02728807154893864,-0.02728807154893864,0.0,0.13744670035635603,0.15608384806134348,86,86
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,3,-0.06389949799356032,-0.06389949799356032,0.0,0.16012269767889292,0.1944049194989975,85,85
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,4,-0.0736382750717699,-0.0736382750717699,0.0,0.20019531882191136,0.2361274300225512,84,84
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,5,-0.228028544839038,-0.228028544839038,0.0,0.2741903915745273,0.30309555931121196,83,83
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,6,-0.3743143784222882,-0.3743143784222882,0.0,0.315926425274495,0.37207679608749994,82,82
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,7,-0.36073642672522976,-0.36073642672522976,0.0,0.37204592313135926,0.4399454081297381,81,81
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,8,-0.4728469298278788,-0.4728469298278788,0.0,0.45459498943419524,0.5115380694811533,80,80
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,9,-0.633574462499146,-0.633574462499146,0.0,0.5331970962288147,0.5885951662321763,79,79
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,10,-0.9177320970198553,-0.9177320970198553,0.0,0.5288314146495513,0.5997716556546446,78,78
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,11,-1.0268993286290757,-1.0268993286290757,0.0,0.5877216549578701,0.648806434230476,77,77
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,12,-1.2707114677946487,-1.2707114677946487,0.0,0.6357759137437142,0.6781988938821933,76,76
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,13,-1.5787427864398458,-1.5787427864398458,0.0,0.8127718520565138,0.8112517056269862,75,75
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,14,-1.7528880904816537,-1.7528880904816537,0.0,0.9074788778252456,0.8915187515806314,74,74
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,15,-1.9211579401840044,-1.9211579401840044,0.0,0.941722407804948,0.9186851752214775,73,73
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,16,-1.9506905899743934,-1.9506905899743934,0.0,0.9374466533394901,0.9103545880063636,72,72
ra-alt-43e0051a2f5b919d8317bfb8649c4e88,ra-check-077835ba64641086db09119bd2ac2655,17,-2.019083762751703,-2.019083762751703,0.0,0.9307194048356139,0.9148077573590827,71,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,0,0.03926033726243894,-0.002923963799022128,-0.042184301061461066,0.056984108791936015,0.05648992711421993,88,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,1,0.08884441550919353,0.08319648555664821,-0.005647929952545316,0.1173044350317145,0.14265199330879633,87,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,2,-0.02728807154893864,0.0777267335584651,0.10501480510740374,0.13744670035635603,0.11919134735480083,86,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,3,-0.06389949799356032,-0.002320838252938051,0.061578659740622266,0.16012269767889292,0.15868348739271623,85,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,4,-0.0736382750717699,0.0017520704052700342,0.07539034547703993,0.20019531882191136,0.2040824933050156,84,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,5,-0.228028544839038,-0.08598705727247535,0.14204148756656265,0.2741903915745273,0.26740262150739547,83,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,6,-0.3743143784222882,-0.2217460511944256,0.15256832722786262,0.315926425274495,0.31940249451322705,82,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,7,-0.36073642672522976,-0.2640436952613646,0.09669273146386514,0.37204592313135926,0.3599322627677985,81,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,8,-0.4728469298278788,-0.3138373785232125,0.15900955130466632,0.45459498943419524,0.4258548431237491,80,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,9,-0.633574462499146,-0.47920878271003065,0.1543656797891153,0.5331970962288147,0.49679801985785704,79,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,10,-0.9177320970198553,-0.7735481249234866,0.14418397209636868,0.5288314146495513,0.4996251461078399,78,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,11,-1.0268993286290757,-0.8673265547280854,0.15957277390099034,0.5877216549578701,0.542939904814987,77,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,12,-1.2707114677946487,-1.1230533832084357,0.147658084586213,0.6357759137437142,0.6151370370188812,76,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,13,-1.5787427864398458,-1.2915206173397153,0.28722216910013043,0.8127718520565138,0.7080591223054954,75,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,14,-1.7528880904816537,-1.4676088393234519,0.28527925115820185,0.9074788778252456,0.7462559887577133,74,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,15,-1.9211579401840044,-1.6701917982803351,0.2509661419036693,0.941722407804948,0.7957036778505374,73,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,16,-1.9506905899743934,-1.7638853168537953,0.18680527312059803,0.9374466533394901,0.8585275937156233,72,71
ra-alt-3a0e72ad4d76d2df661f8835ccea7b8e,ra-check-3a9fe68cc441b45c1a8ccb68c340ea1c,17,-2.019083762751703,-2.019083762751703,0.0,0.9307194048356139,0.9307194048356157,71,71
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,0,0.03926033726243894,0.03094053834692509,-0.008319798915513849,0.056984108791936015,0.05399123694614065,88,84
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,1,0.08884441550919353,0.07607299714197735,-0.01277141836721618,0.1173044350317145,0.1247941589593268,87,83
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,2,-0.02728807154893864,-0.05601240011285713,-0.02872432856391849,0.13744670035635603,0.15596548341814326,86,82
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,3,-0.06389949799356032,-0.09973540563291594,-0.035835907639355624,0.16012269767889292,0.17602903724578864,85,81
